lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ADLC2,Arkansas River near Avondale,38.248058,-104.399136,PUB,ABRFC,Arkansas-White-Red Region,CO,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
AGAK1,Walnut River at Augusta,37.670556,-96.980000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
AGSK1,Whitewater River (KS) at Augusta,37.679700,-96.996380,ICT,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ALBK1,Walnut Creek (KS) at Albert,38.461667,-99.014444,ICT,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ALMK1,Little Arkansas River at Alta Mills,38.112200,-97.591940,ICT,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ALXO2,Washita River at Alex,34.925903,-97.773927,OUN,ABRFC,Arkansas-White-Red Region,OK,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
AMAT2,Canadian River at Amarillo,35.470278,-101.879167,AMA,ABRFC,Arkansas-White-Red Region,TX,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
AMCK1,Neosho River near Americus,38.466944,-96.250278,TOP,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
AMCO2,Cimarron River near Ames,36.218330,-98.254440,OUN,ABRFC,Arkansas-White-Red Region,OK,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ANDO2,Washita River at Anadarko,35.084228,-98.243385,OUN,ABRFC,Arkansas-White-Red Region,OK,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ANTO2,Kiamichi River near Antlers,34.248611,-95.605000,TSA,ABRFC,Arkansas-White-Red Region,OK,0.199900,0.079300,0.050000,1,1/26/2023,obj,JFM
ARCC2,Arkansas River near Rocky Ford,38.064604,-103.685472,PUB,ABRFC,Arkansas-White-Red Region,CO,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ARCK1,Arkansas River at Arkansas City,37.037500,-97.039166,ICT,ABRFC,Arkansas-White-Red Region,KS,0.086400,0.050000,0.050000,1,1/26/2023,obj,JFM
ARCT2,Red River at Arthur City,33.875000,-95.501667,TSA,ABRFC,Arkansas-White-Red Region,OK,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ARKK1,Walnut River at Arkansas City,37.056380,-97.025550,ICT,ABRFC,Arkansas-White-Red Region,KS,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
ATOK1,Verdigris River at Altoona,37.529770,-95.674400,ICT,ABRFC,Arkansas-White-Red Region,KS,0.054800,0.050000,0.050000,1,1/26/2023,obj,JFM
AVAO2,Salt Fork Arkansas River near Alva,36.815031,-98.648140,OUN,ABRFC,Arkansas-White-Red Region,OK,0.050000,0.050000,0.050000,1,1/26/2023,obj,JFM
