lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ADLC2,Arkansas River near Avondale,38.24805800,-104.39913600,PUB,ABRFC,Arkansas-White-Red Region,CO,0.15,0.10,0.06,1,2/20/2023,obj,FMA
AGAK1,Walnut River at Augusta,37.67055600,-96.98000000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.09,0.05,0.05,1,2/20/2023,obj,FMA
AGSK1,Whitewater River (KS) at Augusta,37.67970000,-96.99638000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.06,0.05,0.05,1,2/20/2023,obj,FMA
ALBK1,Walnut Creek (KS) at Albert,38.46166700,-99.01444400,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
ALMK1,Little Arkansas River at Alta Mills,38.11220000,-97.59194000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.10,0.05,0.05,1,2/20/2023,obj,FMA
ALXO2,Washita River at Alex,34.92590300,-97.77392700,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
AMAT2,Canadian River at Amarillo,35.47027800,-101.87916700,AMA,ABRFC,Arkansas-White-Red Region,TX,0.09,0.05,0.05,1,2/20/2023,obj,FMA
AMCK1,Neosho River near Americus,38.46694400,-96.25027800,TOP,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
AMCO2,Cimarron River near Ames,36.21833000,-98.25444000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
ANDO2,Washita River at Anadarko,35.08422800,-98.24338500,OUN,ABRFC,Arkansas-White-Red Region,OK,0.08,0.08,0.07,1,2/20/2023,obj,FMA
ANTO2,Kiamichi River near Antlers,34.24861100,-95.60500000,TSA,ABRFC,Arkansas-White-Red Region,OK,0.23,0.10,0.05,1,2/20/2023,obj,FMA
ARCC2,Arkansas River near Rocky Ford,38.06460400,-103.68547200,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
ARCK1,Arkansas River at Arkansas City,37.03750000,-97.03916600,ICT,ABRFC,Arkansas-White-Red Region,KS,0.18,0.05,0.05,1,2/20/2023,obj,FMA
ARCT2,Red River at Arthur City,33.87500000,-95.50166700,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
ARKK1,Walnut River at Arkansas City,37.05638000,-97.02555000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.08,0.05,0.05,1,2/20/2023,obj,FMA
ATOK1,Verdigris River at Altoona,37.52977000,-95.67440000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.25,0.06,0.05,1,2/20/2023,obj,FMA
AVAO2,Salt Fork Arkansas River near Alva,36.81503100,-98.64814000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
AVTO2,Bird Creek at Avant,36.48500000,-96.06000000,TSA,ABRFC,Arkansas-White-Red Region,OK,0.37,0.17,0.14,1,2/20/2023,obj,FMA
BETK1,Buckner Creek near Burdett,38.16277800,-99.64277800,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
BFFO2,Cimarron River near Buffalo,36.85197500,-99.31538700,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
