id,lid,name,lat,lon,wfo,rfc,wrr,state,minor_CS_3month,moderate_CS_3month,major_CS_3month,code,date_produced,obj_or_subj_3month,interval_3month
ACML1,ACML1,Black River at Acme,31.26777800,-91.83083300,JAN,LMRFC,Lower Mississippi Region,LA,0.51,0.44,0.32,2,2/7/2023,obj,FMA
AEXL1,AEXL1,Red River at Alexandria,31.30888900,-92.43916700,LCH,LMRFC,Lower Mississippi Region,LA,0.22,0.12,0.10,1,2/7/2023,obj,FMA
AKDA4,AKDA4,Ouachita River at Arkadelphia,34.12111100,-93.04611100,LZK,LMRFC,Lower Mississippi Region,AR,0.80,0.05,0.05,2,2/7/2023,obj,FMA
ALGL1,ALGL1,Boeuf River near Alto,32.37380100,-91.88075400,JAN,LMRFC,Lower Mississippi Region,LA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
ALYM7,ALYM7,Jacks Fork at Alley Spring,37.14817000,-91.44308000,SGF,LMRFC,Arkansas-White-Red Region,MO,0.21,0.08,0.05,1,2/7/2023,obj,FMA
AMIL1,AMIL1,Tangipahoa River near Amite,30.72888900,-90.48416700,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
ANGM6,ANGM6,Big Sunflower River near Anguilla,32.97170000,-90.77700000,JAN,LMRFC,Lower Mississippi Region,MS,0.25,0.10,0.05,1,2/7/2023,obj,FMA
ANNM7,ANNM7,Black River near Annapolis,37.33611100,-90.78861100,LSX,LMRFC,Arkansas-White-Red Region,MO,0.95,0.24,0.05,2,2/7/2023,obj,FMA
ARLT1,ARLT1,Loosahatchie River at Arlington,35.31083300,-89.63944400,MEG,LMRFC,Lower Mississippi Region,TN,0.37,0.15,0.05,1,2/7/2023,obj,FMA
ARSA4,ARSA4,Mississippi River near Arkansas City,33.55150000,-91.23840000,JAN,LMRFC,Lower Mississippi Region,AR,0.19,0.07,0.05,1,2/7/2023,obj,FMA
ARTT1,ARTT1,Powell River near Arthur,36.54166700,-83.63027800,MRX,LMRFC,Tennessee Region,TN,0.13,0.05,0.05,1,2/7/2023,obj,FMA
AUGA4,AUGA4,White River near Augusta,35.29444400,-91.39416700,LZK,LMRFC,Arkansas-White-Red Region,AR,0.95,0.30,0.09,2,2/7/2023,obj,FMA
AVLN7,AVLN7,French Broad River at Asheville,35.60888900,-82.57805600,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/7/2023,obj,FMA
BAGA4,BAGA4,White River at Batesville,35.76027800,-91.64111100,LZK,LMRFC,Arkansas-White-Red Region,AR,0.34,0.21,0.09,1,2/7/2023,obj,FMA
BDCL1,BDCL1,Bayou Des Cannes near Eunice,30.48277800,-92.49055600,LCH,LMRFC,Lower Mississippi Region,LA,0.69,0.37,0.05,2,2/7/2023,obj,FMA
BELM6,BELM6,Yazoo River at Belzoni,33.16471000,-90.49431000,JAN,LMRFC,Lower Mississippi Region,MS,0.83,0.33,0.15,2,2/7/2023,obj,FMA
BHTA4,BHTA4,Little Missouri River (AR) near Boughton,33.87555600,-93.30444400,LZK,LMRFC,Lower Mississippi Region,AR,0.34,0.05,0.05,1,2/7/2023,obj,FMA
BIRN7,BIRN7,Oconaluftee River at Birdtown,35.46138900,-83.35361100,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/7/2023,obj,FMA
BKDL1,BKDL1,Bundick Creek at Bundick Lake,30.72666700,-93.09500000,LCH,LMRFC,Lower Mississippi Region,LA,0.60,0.30,0.18,2,2/7/2023,obj,FMA
BKNM6,BKNM6,Black Creek near Brooklyn,31.05190000,-89.20420000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.31,0.05,0.05,1,2/7/2023,obj,FMA
BKRA4,BKRA4,Black River at Black Rock,36.10250000,-91.09777800,LZK,LMRFC,Arkansas-White-Red Region,AR,0.95,0.35,0.09,2,2/7/2023,obj,FMA
BLAN7,BLAN7,French Broad River at Blantyre,35.29916700,-82.62388900,GSP,LMRFC,Tennessee Region,NC,0.25,0.07,0.05,1,2/7/2023,obj,FMA
BLTN7,BLTN7,Swannanoa River at Biltmore,35.56833300,-82.54472200,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/7/2023,obj,FMA
BNAA1,BNAA1,Big Nance Creek (AL) at Courtland,34.67000000,-87.31722200,HUN,LMRFC,Tennessee Region,AL,0.30,0.23,0.16,1,2/7/2023,obj,FMA
BOGT1,BOGT1,Obion River near Bogota,36.13500000,-89.43166700,MEG,LMRFC,Lower Mississippi Region,TN,0.12,0.05,0.05,1,2/7/2023,obj,FMA
BOVM6,BOVM6,Big Black River near Bovina,32.34777000,-90.69694000,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.15,0.05,2,2/7/2023,obj,FMA
BRCM6,BRCM6,Skuna River at Bruce,33.97361100,-89.34777800,MEG,LMRFC,Lower Mississippi Region,MS,0.08,0.05,0.05,1,2/7/2023,obj,FMA
BRYA4,BRYA4,Kings River near Berryville,36.42722200,-93.62083300,TSA,LMRFC,Arkansas-White-Red Region,AR,0.05,0.05,0.05,1,2/7/2023,obj,FMA
BSBA1,BSBA1,Flint River (AL) at Brownsboro,34.74916700,-86.44666700,HUN,LMRFC,Tennessee Region,AL,0.35,0.21,0.06,1,2/7/2023,obj,FMA
BSHL1,BSHL1,Bogue Chitto River near Bush,30.62916700,-89.89722200,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.89,0.18,0.06,2,2/7/2023,obj,FMA
BSLL1,BSLL1,Bayou Nezpique at Basile,30.48055600,-92.63166700,LCH,LMRFC,Lower Mississippi Region,LA,0.51,0.31,0.08,2,2/7/2023,obj,FMA
BTAM6,BTAM6,Big Black River near Bentonia,32.60305500,-90.36388000,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.95,0.15,3,2/7/2023,obj,FMA
BTNA4,BTNA4,Saline River at Benton,34.56777800,-92.61027800,LZK,LMRFC,Lower Mississippi Region,AR,0.68,0.11,0.05,2,2/7/2023,obj,FMA
BVCL1,BVCL1,Bayou Vermilion near Carencro,30.36805600,-91.98750000,LCH,LMRFC,Lower Mississippi Region,LA,0.41,0.13,0.05,1,2/7/2023,obj,FMA
BVRT1,BVRT1,Hatchie River near Bolivar,35.27527800,-88.97666700,MEG,LMRFC,Lower Mississippi Region,TN,0.20,0.05,0.05,1,2/7/2023,obj,FMA
BXAL1,BXAL1,Pearl River near Bogalusa,30.79305600,-89.82083300,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.95,0.64,0.05,3,2/7/2023,obj,FMA
BYML1,BYML1,Amite River at Bayou Manchac Point,30.34777800,-90.89694400,LIX,LMRFC,Lower Mississippi Region,LA,0.45,0.20,0.05,1,2/7/2023,obj,FMA
CAMA4,CAMA4,Ouachita River at Camden,33.59638900,-92.81805600,LZK,LMRFC,Lower Mississippi Region,AR,0.95,0.46,0.06,2,2/7/2023,obj,FMA
CARM6,CARM6,Pearl River near Carthage,32.70722200,-89.52638900,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.09,0.05,2,2/7/2023,obj,FMA
CCTM6,CCTM6,Yalobusha River at Calhoun City,33.83861100,-89.31555600,MEG,LMRFC,Lower Mississippi Region,MS,0.11,0.07,0.05,1,2/7/2023,obj,FMA
CGSL1,CGSL1,Bogue Falaya River near Camp Covington,30.55666700,-90.14611100,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.27,0.09,0.05,1,2/7/2023,obj,FMA
CHKT1,CHKT1,S. Chickamauga Creek near Chickamauga,35.01361100,-85.21055600,MRX,LMRFC,Tennessee Region,TN,0.34,0.15,0.05,1,2/7/2023,obj,FMA
CHSA1,CHSA1,Flint River (AL) near Chase,34.82277800,-86.48305600,HUN,LMRFC,Tennessee Region,AL,0.12,0.05,0.05,1,2/7/2023,obj,FMA
CIRI2,CIRI2,Ohio River at Cairo,37.00000000,-89.16250000,PAH,LMRFC,Ohio Region,IL,0.64,0.30,0.15,2,2/7/2023,obj,FMA
CKYM6,CKYM6,Chunky River near Chunky,32.32610000,-88.90920000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.27,0.10,0.05,1,2/7/2023,obj,FMA
CLDA4,CLDA4,White River at Clarendon,34.68555600,-91.31527800,LZK,LMRFC,Lower Mississippi Region,AR,0.95,0.27,0.05,2,2/7/2023,obj,FMA
CLMM6,CLMM6,Pearl River near Columbia,31.23777800,-89.84694400,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.15,0.05,2,2/7/2023,obj,FMA
CLRA4,CLRA4,White River at Calico Rock,36.11611100,-92.14305600,LZK,LMRFC,Arkansas-White-Red Region,AR,0.17,0.07,0.05,1,2/7/2023,obj,FMA
CLSM6,CLSM6,Leaf River near Collins,31.70690000,-89.40690000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.30,0.05,0.05,1,2/7/2023,obj,FMA
CLVV2,CLVV2,Clinch River at Cleveland,36.94472200,-82.15500000,MRX,LMRFC,Tennessee Region,VA,0.10,0.05,0.05,1,2/7/2023,obj,FMA
CMTL1,CMTL1,Comite River near Comite Joor Rd.,30.51250000,-91.07361100,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.52,0.30,0.08,2,2/7/2023,obj,FMA
CNVT1,CNVT1,Duck River at Centerville,35.78416700,-87.46000000,OHX,LMRFC,Tennessee Region,TN,0.31,0.23,0.06,1,2/7/2023,obj,FMA
COGL1,COGL1,Bayou Macon near Como,32.09280000,-91.59250000,JAN,LMRFC,Lower Mississippi Region,LA,0.35,0.21,0.09,1,2/7/2023,obj,FMA
COLT1,COLT1,Duck River at Columbia,35.61805600,-87.03250000,OHX,LMRFC,Tennessee Region,TN,0.23,0.19,0.08,1,2/7/2023,obj,FMA
COPT2,COPT2,South Sulphur River near Cooper,33.35638900,-95.59472200,FWD,LMRFC,Arkansas-White-Red Region,TX,0.86,0.34,0.05,2,2/7/2023,obj,FMA
CPGM7,CPGM7,Mississippi River at Cape Girardeau,37.30194400,-89.51805600,PAH,LMRFC,Upper Mississippi Region,MO,0.49,0.21,0.11,1,2/7/2023,obj,FMA
CPPT2,CPPT2,North Sulphur River near Cooper,33.47472200,-95.58750000,FWD,LMRFC,Arkansas-White-Red Region,TX,0.07,0.05,0.05,1,2/7/2023,obj,FMA
