lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ABIK1,Smoky Hill River near Abilene,38.906389,-97.284167,TOP,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ABRN1,Little Nemaha River near Auburn,40.392805,-95.812680,OAX,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ADAK1,Salt Creek (KS) near Ada,39.139167,-97.836667,TOP,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
AGYM7,Platte River near Agency,39.688028,-94.702611,EAX,MBRFC,Missouri Region,MO,0.400000,0.110000,0.050000,1,1/24/2023,obj,JFM
AKRI4,Big Sioux River at Akron,42.837500,-96.561667,FSD,MBRFC,Missouri Region,IA,0.220000,0.160000,0.080000,1,1/24/2023,obj,JFM
ALDN1,Wood River near Alda,40.854722,-98.474167,GID,MBRFC,Missouri Region,NE,0.260000,0.200000,0.120000,1,1/24/2023,obj,JFM
ALEK1,Mud Creek (KS) at Abilene,38.929722,-97.227778,TOP,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ALTI4,Floyd River at Alton,42.981944,-96.000833,FSD,MBRFC,Missouri Region,IA,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ARNK1,Smoky Hill River near Arnold,38.807500,-100.022222,DDC,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ASLN1,Platte River near Ashland,41.062336,-96.324408,OAX,MBRFC,Missouri Region,NE,0.140000,0.050000,0.050000,1,1/24/2023,obj,JFM
ASTN1,Salt Creek near Ashland,41.051745,-96.338285,OAX,MBRFC,Missouri Region,NE,0.110000,0.060000,0.050000,1,1/24/2023,obj,JFM
ATCI4,East Nishnabotna River near Atlantic,41.346000,-95.076861,DMX,MBRFC,Missouri Region,IA,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
ATCK1,Missouri River at Atchison,39.559722,-95.113889,EAX,MBRFC,Missouri Region,KS,0.090000,0.050000,0.050000,1,1/24/2023,obj,JFM
ATNS2,James River near Ashton,44.998333,-98.480556,ABR,MBRFC,Missouri Region,SD,0.360000,0.260000,0.200000,1,1/24/2023,obj,JFM
ATWC2,South Platte River at Atwood,40.538900,-103.267200,BOU,MBRFC,Missouri Region,CO,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BANK1,Little Blue River near Barnes,39.725833,-96.804444,TOP,MBRFC,Missouri Region,KS,0.080000,0.050000,0.050000,1,1/24/2023,obj,JFM
BARN1,Big Blue River near Barneston,40.044782,-96.587321,OAX,MBRFC,Missouri Region,NE,0.080000,0.050000,0.050000,1,1/24/2023,obj,JFM
BBRW4,South Fork Shoshone River above Buffalo Bill Reservoir,44.419110,-109.258250,RIW,MBRFC,Missouri Region,WY,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BCHM8,Beaver Creek (MT) near Hinsdale,48.420278,-107.171111,GGW,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BCMM8,Battle Creek (North-central MT) near Chinook,48.649444,-109.231667,TFX,MBRFC,Missouri Region,MT,0.160000,0.140000,0.120000,1,1/24/2023,obj,JFM
BDFI4,East Fork 102 River at Bedford,40.660972,-94.716306,DMX,MBRFC,Missouri Region,IA,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BDYN1,Platte River at Brady,41.019270,-100.371500,LBF,MBRFC,Missouri Region,NE,0.070000,0.050000,0.050000,1,1/24/2023,obj,JFM
BEAN1,Big Blue River at Beatrice,40.256764,-96.746952,OAX,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BEKN1,S. Fork Republican River near Benkelman,40.010278,-101.541944,GLD,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BENN1,Republican River near Benkelman,40.034722,-101.542778,GLD,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BEVN1,Beaver Creek near Beaver City,40.120000,-99.893056,GID,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BFYM8,Clarks Fork of the Yellowstone near Belfry,45.009911,-109.065367,BYZ,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BGPN1,North Platte River near Bridgeport,41.676580,-103.097000,CYS,MBRFC,Missouri Region,NE,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BHBW4,Big Horn River at Basin,44.383290,-108.036220,RIW,MBRFC,Missouri Region,WY,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BIGM7,Big Piney at Ft. Wood - East Gate,37.760250,-92.057970,SGF,MBRFC,Missouri Region,MO,0.670000,0.220000,0.060000,2,1/24/2023,obj,JFM
BILM8,Yellowstone River at Billings,45.800119,-108.468031,BYZ,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BLAN1,Missouri River near Blair,41.550807,-96.096865,OAX,MBRFC,Missouri Region,NE,0.070000,0.050000,0.050000,1,1/24/2023,obj,JFM
BLRK1,Big Blue River at Blue Rapids,39.687222,-96.639722,TOP,MBRFC,Missouri Region,KS,0.310000,0.050000,0.050000,1,1/24/2023,obj,JFM
BLRM7,Big Creek near Blairstown,38.554978,-93.965353,EAX,MBRFC,Missouri Region,MO,0.940000,0.530000,0.050000,3,1/24/2023,obj,JFM
BLTK1,Solomon River at Beloit,39.454984,-98.109199,GID,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BLVM7,Blackwater River near Blue Lick,38.992222,-93.196667,EAX,MBRFC,Missouri Region,MO,0.750000,0.480000,0.050000,2,1/24/2023,obj,JFM
BNYM8,Tongue River at Birney Day School near Birney,45.411667,-106.457222,BYZ,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BONM7,Petite Saline Creek near Boonville,38.917222,-92.704167,EAX,MBRFC,Missouri Region,MO,0.530000,0.270000,0.050000,2,1/24/2023,obj,JFM
BOSW4,Laramie River near Bosler,41.554696,-105.683326,CYS,MBRFC,Missouri Region,WY,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BOZM7,Missouri River at Boonville,38.980278,-92.745278,EAX,MBRFC,Missouri Region,MO,0.460000,0.050000,0.050000,1,1/24/2023,obj,JFM
BREN8,Cannonball River at Breien,46.376111,-100.934444,BIS,MBRFC,Missouri Region,ND,0.140000,0.050000,0.050000,1,1/24/2023,obj,JFM
BRKS2,Big Sioux River near Brookings,44.180278,-96.749167,FSD,MBRFC,Missouri Region,SD,0.200000,0.120000,0.050000,1,1/24/2023,obj,JFM
BRLM7,Nodaway River near Burlington Junction,40.444881,-95.088897,EAX,MBRFC,Missouri Region,MO,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BRNK1,Salt Creek (KS) at Barnard,39.190270,-98.039720,ICT,MBRFC,Missouri Region,KS,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BRNM7,Grand River near Brunswick,39.430278,-93.159722,EAX,MBRFC,Missouri Region,MO,0.470000,0.060000,0.050000,1,1/24/2023,obj,JFM
BRON1,Missouri River at Brownville,40.398890,-95.653300,OAX,MBRFC,Missouri Region,NE,0.220000,0.060000,0.050000,1,1/24/2023,obj,JFM
BSMM8,Big Sandy Creek (MT) near Havre,48.526745,-109.841597,TFX,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
BTMM8,Boulder River at Big Timber,45.833794,-109.938706,BYZ,MBRFC,Missouri Region,MT,0.050000,0.050000,0.050000,1,1/24/2023,obj,JFM
