lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ABIK1,Smoky Hill River near Abilene,38.90638889,-97.28416667,TOP,MBRFC,Missouri Region,KS,0.10,0.05,0.05,1,2/21/2023,obj,FMA
ABRN1,Little Nemaha River near Auburn,40.39277778,-95.81277778,OAX,MBRFC,Missouri Region,NE,0.10,0.07,0.05,1,2/21/2023,obj,FMA
ADAK1,Salt Creek (KS) near Ada,39.13916667,-97.83666667,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
AGYM7,Platte River near Agency,39.68888889,-94.70416667,EAX,MBRFC,Missouri Region,MO,0.58,0.17,0.05,2,2/21/2023,obj,FMA
AKRI4,Big Sioux River at Akron,42.82580000,-96.55140000,FSD,MBRFC,Missouri Region,IA,0.46,0.34,0.27,1,2/21/2023,obj,FMA
ALDN1,Wood River near Alda,40.85280000,-98.47220000,GID,MBRFC,Missouri Region,NE,0.26,0.23,0.14,1,2/21/2023,obj,FMA
ALEK1,Mud Creek (KS) at Abilene,38.92972222,-97.22777778,TOP,MBRFC,Missouri Region,KS,0.07,0.05,0.05,1,2/21/2023,obj,FMA
ALTI4,Floyd River at Alton,42.99805556,-96.01750000,FSD,MBRFC,Missouri Region,IA,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ARNK1,Smoky Hill River near Arnold,38.80750000,-100.02222222,DDC,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ASLN1,Platte River near Ashland,41.06222222,-96.32472222,OAX,MBRFC,Missouri Region,NE,0.06,0.05,0.05,1,2/21/2023,obj,FMA
ASTN1,Salt Creek near Ashland,41.05166667,-96.33833333,OAX,MBRFC,Missouri Region,NE,0.18,0.06,0.05,1,2/21/2023,obj,FMA
ATCI4,East Nishnabotna River near Atlantic,41.30611111,-95.08472222,DMX,MBRFC,Missouri Region,IA,0.12,0.05,0.05,1,2/21/2023,obj,FMA
ATCK1,Missouri River at Atchison,39.56027778,-95.11333333,EAX,MBRFC,Missouri Region,KS,0.30,0.09,0.05,1,2/21/2023,obj,FMA
ATNS2,James River near Ashton,44.99833333,-98.48055556,ABR,MBRFC,Missouri Region,SD,0.46,0.42,0.34,1,2/21/2023,obj,FMA
ATWC2,South Platte River at Atwood,40.53888889,-103.26722222,BOU,MBRFC,Missouri Region,CO,0.08,0.07,0.05,1,2/21/2023,obj,FMA
BANK1,Little Blue River near Barnes,39.72583333,-96.80444444,TOP,MBRFC,Missouri Region,KS,0.21,0.05,0.05,1,2/21/2023,obj,FMA
BARN1,Big Blue River near Barneston,40.04472222,-96.58722222,OAX,MBRFC,Missouri Region,NE,0.15,0.05,0.05,1,2/21/2023,obj,FMA
BBRW4,South Fork Shoshone River above Buffalo Bill Reservoir,44.43277778,-109.25166667,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BCHM8,Beaver Creek (MT) near Hinsdale,48.42027778,-107.17111111,GGW,MBRFC,Missouri Region,MT,0.09,0.05,0.05,1,2/21/2023,obj,FMA
BCMM8,Battle Creek (North-central MT) near Chinook,48.65000000,-109.23333333,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BDFI4,East Fork 102 River at Bedford,40.66083333,-94.71638889,DMX,MBRFC,Missouri Region,IA,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BDYN1,Platte River at Brady,41.01944444,-100.37111111,LBF,MBRFC,Missouri Region,NE,0.18,0.10,0.07,1,2/21/2023,obj,FMA
BEAN1,Big Blue River at Beatrice,40.25611111,-96.74638889,OAX,MBRFC,Missouri Region,NE,0.08,0.05,0.05,1,2/21/2023,obj,FMA
BEKN1,S. Fork Republican River near Benkelman,40.00940000,-101.54220000,GLD,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BENN1,Republican River near Benkelman,40.03470000,-101.54280000,GLD,MBRFC,Missouri Region,NE,0.09,0.05,0.05,1,2/21/2023,obj,FMA
BEVN1,Beaver Creek near Beaver City,40.12000000,-99.89310000,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BFYM8,Clarks Fork of the Yellowstone near Belfry,45.00916667,-109.06555556,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BGPN1,North Platte River near Bridgeport,41.67666667,-103.09694444,CYS,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BHBW4,Big Horn River at Basin,44.38333333,-108.03555556,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BIGM7,Big Piney at Ft. Wood - East Gate,37.76027778,-92.05805556,SGF,MBRFC,Missouri Region,MO,0.81,0.34,0.08,2,2/21/2023,obj,FMA
BILM8,Yellowstone River at Billings,45.80010000,-108.46800000,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BLAN1,Missouri River near Blair,41.55083333,-96.09694444,OAX,MBRFC,Missouri Region,NE,0.09,0.07,0.05,1,2/21/2023,obj,FMA
BLRK1,Big Blue River at Blue Rapids,39.68888889,-96.64166667,TOP,MBRFC,Missouri Region,KS,0.44,0.05,0.05,1,2/21/2023,obj,FMA
BLRM7,Big Creek near Blairstown,38.55500000,-93.96527778,EAX,MBRFC,Missouri Region,MO,0.93,0.88,0.05,3,2/21/2023,obj,FMA
BLTK1,Solomon River at Beloit,39.45500000,-98.10916667,GID,MBRFC,Missouri Region,KS,0.14,0.07,0.05,1,2/21/2023,obj,FMA
BLVM7,Blackwater River near Blue Lick,38.99027778,-93.20388889,EAX,MBRFC,Missouri Region,MO,0.90,0.58,0.09,3,2/21/2023,obj,FMA
BNYM8,Tongue River at Birney Day School near Birney,45.41166667,-106.45722222,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BONM7,Petite Saline Creek near Boonville,38.91722222,-92.70444444,EAX,MBRFC,Missouri Region,MO,0.63,0.49,0.05,2,2/21/2023,obj,FMA
BOSW4,Laramie River near Bosler,41.55472222,-105.82833333,CYS,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BOZM7,Missouri River at Boonville,38.98166667,-92.74583333,EAX,MBRFC,Missouri Region,MO,0.57,0.12,0.05,2,2/21/2023,obj,FMA
BREN8,Cannonball River at Breien,46.37610000,-100.93416667,BIS,MBRFC,Missouri Region,ND,0.16,0.05,0.05,1,2/21/2023,obj,FMA
BRKS2,Big Sioux River near Brookings,44.18030000,-96.74920000,FSD,MBRFC,Missouri Region,SD,0.50,0.31,0.11,1,2/21/2023,obj,FMA
