lid,lat,lon,minor,moderate,major,code,date_produced
LNMI2,40.7078,-90.28,0.38,0.06,0.05,1,2/7/2023
LCMI3,41.5775,-87.522222,0.33,0.12,0.07,1,2/7/2023
SIRI2,42.438056,-89.175,0.35,0.08,0.05,1,2/7/2023
EAGM4,42.828056,-84.759444,0.22,0.05,0.05,1,2/7/2023
AGNI4,43.0827,-94.230556,0.1,0.05,0.05,1,2/7/2023
GACM4,42.348611,-83.3125,0.05,0.05,0.05,1,2/7/2023
IRQI2,40.822778,-87.581389,0.55,0.05,0.05,2,2/7/2023
DMWI4,41.563611,-93.703611,0.05,0.05,0.05,1,2/7/2023
BCHW3,42.786111,-89.861111,0.16,0.05,0.05,1,2/7/2023
SAGM4,43.412222,-83.956111,0.14,0.05,0.05,1,2/7/2023
DMOI4,41.6125,-93.620833,0.05,0.05,0.05,1,2/7/2023
CMOI2,41.772222,-89.745278,0.14,0.05,0.05,1,2/7/2023
GDRM4,42.966667,-85.683333,0.05,0.05,0.05,1,2/7/2023
GNNM4,46.283056,-87.437222,0.07,0.05,0.05,1,2/7/2023
STRI4,42.2525,-93.996944,0.07,0.05,0.05,1,2/7/2023
MROI4,41.796667,-92.070833,0.48,0.24,0.05,1,2/7/2023
CHSI2,37.902222,-89.830833,0.45,0.17,0.07,1,2/7/2023
RAYW3,42.815278,-87.994722,0.15,0.05,0.05,1,2/7/2023
FODI4,42.506389,-94.2025,0.1,0.05,0.05,1,2/7/2023
ARCW3,44.253056,-91.501389,0.05,0.05,0.05,1,2/7/2023
MILI2,40.63,-87.723889,0.47,0.11,0.05,1,2/7/2023
RCHM5,44.061667,-92.466389,0.05,0.05,0.05,1,2/7/2023
MCGI4,43.024722,-91.1725,0.71,0.31,0.1,2,2/7/2023
ROCM4,43.083333,-85.590833,0.1,0.05,0.05,1,2/7/2023
SCNM5,46.703333,-92.418611,0.2,0.08,0.05,1,2/7/2023
PORW3,43.527778,-89.434167,0.61,0.47,0.14,2,2/7/2023
CLIW3,42.6,-88.8833,0.07,0.05,0.05,1,2/7/2023
FNNM7,38.512222,-90.431389,0.37,0.11,0.09,1,2/7/2023
SORI2,41.522222,-88.1925,0.11,0.05,0.05,1,2/7/2023
WYLM7,40.3925,-91.597222,0.14,0.05,0.05,1,2/7/2023
