lid,lat,lon,rfc,minor,moderate,major,code,date_produced,name,wronglon,wfo,wrr,state,obj_or_subj,interval
BEAI2,40.016851,-90.438897,NCRFC,0.73,0.42,0.05,2,1/27/2023,Illinois River at Beardstown,90.438897,ILX,Upper Mississippi Region,IL,obj,JFM
FGON8,46.861111,-96.783333,NCRFC,0.65,0.13,0.05,2,1/27/2023,Red River of the North at Fargo,96.783333,FGF,Souris-Red-Rainy Region,ND,obj,JFM
HAVI2,40.293152,-90.069412,NCRFC,0.82,0.40,0.10,2,1/27/2023,Illinois River near Havana,90.069412,ILX,Upper Mississippi Region,IL,obj,JFM
IRQI2,40.823056,-87.581667,NCRFC,0.53,0.05,0.05,2,1/27/2023,Iroquois River at Iroquois,87.581667,LOT,Upper Mississippi Region,IL,obj,JFM
KCAI2,38.610139,-89.357639,NCRFC,0.75,0.05,0.05,2,1/27/2023,Kaskaskia River at Carlyle,89.357639,LSX,Upper Mississippi Region,IL,obj,JFM
LSLI2,41.323611,-89.110833,NCRFC,0.55,0.09,0.05,2,1/27/2023,Illinois River near La Salle,89.110833,LOT,Upper Mississippi Region,IL,obj,JFM
MNTI2,40.030867,-88.588954,NCRFC,0.68,0.05,0.05,2,1/27/2023,Sangamon River at Monticello,88.588954,ILX,Upper Mississippi Region,IL,obj,JFM
SLLM7,38.158528,-91.108472,NCRFC,0.51,0.07,0.05,2,1/27/2023,Meramec River near Sullivan,91.108472,LSX,Upper Mississippi Region,MO,obj,JFM
VNDI2,38.959722,-89.088889,NCRFC,0.78,0.25,0.08,2,1/27/2023,Kaskaskia River at Vandalia,89.088889,LSX,Upper Mississippi Region,IL,obj,JFM
ABRN8,46.470556,-96.781944,NCRFC,0.25,0.12,0.05,1,1/27/2023,Wild Rice River (ND) near Abercrombie,96.781944,FGF,Souris-Red-Rainy Region,ND,obj,JFM
ADAM4,42.956974,-85.477523,NCRFC,0.05,0.05,0.05,1,1/27/2023,Grand River at Ada,85.477523,GRR,Great Lakes Region,MI,obj,JFM
ADRM4,41.904167,-83.980556,NCRFC,0.05,0.05,0.05,1,1/27/2023,River Raisin near Adrian,83.980556,DTX,Great Lakes Region,MI,obj,JFM
AESI4,42.006653,-93.595495,NCRFC,0.05,0.05,0.05,1,1/27/2023,South Skunk River near Ames US 30,93.595495,DMX,Upper Mississippi Region,IA,obj,JFM
AFBI2,42.161944,-88.293889,NCRFC,0.37,0.11,0.05,1,1/27/2023,Fox River at Algonquin tailwater,88.293889,LOT,Upper Mississippi Region,IL,obj,JFM
AFTW3,42.613611,-89.071667,NCRFC,0.18,0.05,0.05,1,1/27/2023,Rock River at Afton,89.071667,MKX,Upper Mississippi Region,WI,obj,JFM
AGNI4,43.08268,-94.230608,NCRFC,0.05,0.05,0.05,1,1/27/2023,East Fork Des Moines River near Algona,94.230608,DMX,Upper Mississippi Region,IA,obj,JFM
AGSI4,40.7544,-91.275399,NCRFC,0.10,0.07,0.05,1,1/27/2023,Skunk River at Augusta,91.275399,DVN,Upper Mississippi Region,IA,obj,JFM
AKAM5,45.1916,-93.3944,NCRFC,0.05,0.05,0.05,1,1/27/2023,Mississippi River at Hwy 169 at Champlin,93.3944,MPX,Upper Mississippi Region,MN,obj,JFM
AKWI4,41.337216,-93.486325,NCRFC,0.05,0.05,0.05,1,1/27/2023,South River (South Central IA) near Ackworth,93.486325,DMX,Upper Mississippi Region,IA,obj,JFM
