lid,lat,lon,rfc,minor,moderate,major,code,date_produced,name,wfo,wrr,state,obj_or_subj,interval
BEDI3,38.7703,-86.4097,OHRFC,0.62,0.05,0.05,2,1/10/2023,East Fork White River at Rivervale,IND,Upper Mississippi Region,IN,obj,JFM
CARI2,38.092222,-88.156111,OHRFC,0.67,0.38,0.17,2,1/10/2023,Little Wabash River at Carmi,PAH,Souris-Red-Rainy Region,IL,obj,JFM
CLAI2,38.63477,-88.297266,OHRFC,0.95,0.19,0.05,2,1/27/2023,Little Wabash River below Clay City,ILX,Upper Mississippi Region,IL,obj,JFM
CLKW2,39.238702,-80.358979,OHRFC,0.51,0.35,0.26,2,1/27/2023,West Fork River near Clarksburg,RLX,Upper Mississippi Region,WV,obj,JFM
CSHO1,40.248333,-81.873056,OHRFC,0.51,0.05,0.05,2,1/27/2023,Muskingum River below Coshocton,PBZ,Upper Mississippi Region,OH,obj,JFM
CVGI3,40.14,-87.406667,OHRFC,0.74,0.09,0.05,2,1/27/2023,Wabash River at Covington,IND,Upper Mississippi Region,IN,obj,JFM
DUNK2,37.5475,-86.721667,OHRFC,0.59,0.4,0.05,2,1/27/2023,Rough River near Dundee,LMK,Upper Mississippi Region,KY,obj,JFM
ELLI3,39.0275,-86.966944,OHRFC,0.79,0.14,0.05,2,1/27/2023,White River (IN) at Elliston,IND,Upper Mississippi Region,IN,obj,JFM
FREI3,38.806667,-87.246111,OHRFC,0.8,0.13,0.05,2,1/27/2023,White River (IN) at Edwardsport,IND,Upper Mississippi Region,IN,obj,JFM
HAZI3,38.489722,-87.545833,OHRFC,0.84,0.14,0.05,2,1/27/2023,White River (IN) at Hazleton,IND,Souris-Red-Rainy Region,IN,obj,JFM
HLDK2,37.553056,-83.769167,OHRFC,0.51,0.12,0.05,2,1/27/2023,Kentucky River at Heidelberg,JKL,Great Lakes Region,KY,obj,JFM
HUTI2,39.134167,-87.658056,OHRFC,0.9,0.05,0.05,2,1/27/2023,Wabash River near Hutsonville,IND,Great Lakes Region,IL,obj,JFM
KILO1,40.481454,-81.98598,OHRFC,0.73,0.19,0.05,2,1/27/2023,Killbuck Creek at Killbuck,CLE,Upper Mississippi Region,OH,obj,JFM
LAFI3,40.4219,-86.8969,OHRFC,0.76,0.17,0.05,2,1/27/2023,Wabash River at Lafayette,IND,Upper Mississippi Region,IN,obj,JFM
LAWI2,38.723611,-87.664444,OHRFC,0.63,0.06,0.05,2,1/27/2023,Embarras River (IL) at Lawrenceville,ILX,Upper Mississippi Region,IL,obj,JFM
MCRI2,38.3983,-87.7564,OHRFC,0.77,0.2,0.05,2,1/27/2023,Wabash River at Mount Carmel,IND,Upper Mississippi Region,IL,obj,JFM
MTVI3,37.928611,-87.895556,OHRFC,0.78,0.06,0.05,2,1/27/2023,Ohio River at Mount Vernon,PAH,Upper Mississippi Region,IN,obj,JFM
MTZI3,39.7925,-87.373889,OHRFC,0.87,0.06,0.05,2,1/27/2023,Wabash River at Montezuma,IND,Upper Mississippi Region,IN,obj,JFM
NBGI3,37.928333,-87.375,OHRFC,0.86,0.05,0.05,2,1/27/2023,Ohio River at Newburgh Lock and Dam,PAH,Upper Mississippi Region,IN,obj,JFM
NHRI3,38.130833,-87.941389,OHRFC,0.77,0.12,0.05,2,1/27/2023,Wabash River at New Harmony,PAH,Upper Mississippi Region,IN,obj,JFM
NVLI3,41.385328,-84.801626,OHRFC,0.6,0.15,0.05,2,1/27/2023,St. Joseph River (OH/IN) near Newville,IWX,Great Lakes Region,IN,obj,JFM
NWBI3,38.9281,-87.0193,OHRFC,0.64,0.14,0.05,2,1/27/2023,White River (IN) at Newberry,IND,Upper Mississippi Region,IN,obj,JFM
PKTO1,39.07006,-83.019722,OHRFC,0.51,0.21,0.05,2,1/27/2023,Scioto River at Piketon,ILN,Upper Mississippi Region,OH,obj,JFM
PNTI3,38.390278,-87.548889,OHRFC,0.69,0.45,0.08,2,1/27/2023,Patoka River at Princeton,PAH,Upper Mississippi Region,IN,obj,JFM
PRDK2,37.263889,-86.977778,OHRFC,0.84,0.32,0.05,2,1/27/2023,Green River (KY) at Paradise,PAH,Great Lakes Region,KY,obj,JFM
PTRI3,38.510882,-87.289458,OHRFC,0.87,0.18,0.05,2,1/27/2023,White River (IN) at Petersburg,IND,Souris-Red-Rainy Region,IN,obj,JFM
RAVK2,37.678333,-83.948333,OHRFC,0.69,0.42,0.12,2,1/27/2023,Kentucky River near Ravenna,JKL,Upper Mississippi Region,KY,obj,JFM
RCHK2,37.215667,-86.893556,OHRFC,0.75,0.08,0.05,2,1/27/2023,Green River (KY) at Rochester,LMK,Upper Mississippi Region,KY,obj,JFM
RVTI3,39.020278,-87.568611,OHRFC,0.9,0.06,0.05,2,1/27/2023,Wabash River at Riverton,IND,Upper Mississippi Region,IN,obj,JFM
SERI3,38.9825,-85.8992,OHRFC,0.8,0.15,0.05,2,1/27/2023,East Fork White River near Seymour,IND,Great Lakes Region,IN,obj,JFM
SHNI2,37.691944,-88.133333,OHRFC,0.85,0.26,0.05,2,1/27/2023,Ohio River at Shawneetown,PAH,Upper Mississippi Region,IL,obj,JFM
SPNI3,39.281111,-86.762222,OHRFC,0.51,0.08,0.05,2,1/27/2023,White River (IN) at Spencer,IND,Great Lakes Region,IN,obj,JFM
STRO1,41.5045,-84.4298,OHRFC,0.93,0.16,0.06,2,1/27/2023,Tiffin River at Stryker,IWX,Upper Mississippi Region,OH,obj,JFM
TELI3,37.953611,-86.775278,OHRFC,0.64,0.12,0.05,2,1/27/2023,Ohio River at Tell City,LMK,Upper Mississippi Region,IN,obj,JFM
TERI3,39.46577,-87.41982,OHRFC,0.84,0.05,0.05,2,1/27/2023,Wabash River at Terre Haute...US Hwy 150 Eastbound,IND,Upper Mississippi Region,IN,obj,JFM
UNWK2,37.783333,-87.979444,OHRFC,0.83,0.06,0.05,2,1/27/2023,Ohio River at J.T. Myers Lock and Dam,PAH,Upper Mississippi Region,IN,obj,JFM
VCNI3,38.6814,-87.535278,OHRFC,0.56,0.05,0.05,2,1/27/2023,Wabash River at Vincennes,IND,Upper Mississippi Region,IN,obj,JFM
WDHK2,37.182222,-86.63,OHRFC,0.82,0.15,0.08,2,1/27/2023,Green River (KY) above Woodbury,LMK,Upper Mississippi Region,KY,obj,JFM
WLBK2,36.743333,-84.156111,OHRFC,0.65,0.3,0.15,2,1/27/2023,Cumberland River at Williamsburg,JKL,Souris-Red-Rainy Region,KY,obj,JFM
WTNW2,39.029167,-80.473889,OHRFC,0.7,0.2,0.12,2,1/27/2023,West Fork River at Weston,RLX,Upper Mississippi Region,WV,obj,JFM
