"lid","name","lat","lon","wfo","rfc","wrr","state","minor","moderate","major","date_produced","obj_or_subj","interval"
"AANG1","Peachtree Creek at Atlanta","33.820306","84.407639","FFC","SERFC","South Atlantic-Gulf Region","GA","0.1966","0.1154","< 0.05","12/14/2022","obj","DJF"
"ABBG1","Ocmulgee River at Abbeville","31.996667","83.279167","FFC","SERFC","South Atlantic-Gulf Region","GA","0.8027","0.392","< 0.05","12/14/2022","obj","DJF"
"ABDM6","Buttahatchie River near Aberdeen","33.790000","88.315278","MEG","SERFC","South Atlantic-Gulf Region","MS","0.7601","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ABEM6","Tombigbee River at Aberdeen Lock and Dam","33.830000","88.520000","MEG","SERFC","South Atlantic-Gulf Region","MS","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ABIK1","Smoky Hill River near Abilene","38.906389","97.284167","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ABNG1","Flint River (GA) at Albany","31.594167","84.144167","TAE","SERFC","South Atlantic-Gulf Region","GA","0.213","0.0634","< 0.05","12/14/2022","obj","DJF"
"ABOM8","Clark Fork River above Missoula","46.877222","113.931389","MSO","NWRFC","Pacific Northwest Region","MT","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ABRN1","Little Nemaha River near Auburn","40.392805","95.812680","OAX","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ABRN8","Wild Rice River (ND) near Abercrombie","46.470556","96.781944","FGF","NCRFC","Souris-Red-Rainy Region","ND","0.25","0.12","< 0.05","01/27/2023","obj","JFM"
"ACDG1","Middle Oconee River near Arcade","34.031667","83.563333","FFC","SERFC","South Atlantic-Gulf Region","GA","0.455","0.0839","< 0.05","12/14/2022","obj","DJF"
"ACML1","Black River at Acme","31.267778","91.830833","JAN","LMRFC","Lower Mississippi Region","LA","0.53","0.40","0.19","01/24/2023","obj","JFM"
"ADAK1","Salt Creek (KS) near Ada","39.139167","97.836667","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ADAM4","Grand River at Ada","42.956974","85.477523","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ADLC2","Arkansas River near Avondale","38.248058","104.399136","PUB","ABRFC","Arkansas-White-Red Region","CO","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ADRM4","River Raisin near Adrian","41.904167","83.980556","DTX","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AERK1","Walnut Creek (KS) above Alexander 4W","38.464722","99.622222","DDC","ABRFC","Arkansas-White-Red Region","KS","0.0764","0.0586","0.0551","04/18/2016","obj","AMJ"
"AESI4","South Skunk River near Ames US 30","42.006653","93.595495","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AEXL1","Red River at Alexandria","31.308889","92.439167","LCH","LMRFC","Lower Mississippi Region","LA","0.15","0.12","0.11","01/24/2023","obj","JFM"
"AFBI2","Fox River at Algonquin tailwater","42.161944","88.293889","LOT","NCRFC","Upper Mississippi Region","IL","0.37","0.11","< 0.05","01/27/2023","obj","JFM"
"AFTW3","Rock River at Afton","42.613611","89.071667","MKX","NCRFC","Upper Mississippi Region","WI","0.18","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AGAK1","Walnut River at Augusta","37.670556","96.980000","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AGNI4","East Fork Des Moines River near Algona","43.082680","94.230608","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AGSI4","Skunk River at Augusta","40.754400","91.275399","DVN","NCRFC","Upper Mississippi Region","IA","0.10","0.07","< 0.05","01/27/2023","obj","JFM"
"AGSK1","Whitewater River (KS) at Augusta","37.679700","96.996380","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AGYM7","Platte River near Agency","39.688028","94.702611","EAX","MBRFC","Missouri Region","MO","0.4","0.11","<0.05","1/24/2023","obj","JFM"
"AKAM5","Mississippi River at Hwy 169 at Champlin","45.191600","93.394400","MPX","NCRFC","Upper Mississippi Region","MN","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AKDA4","Ouachita River at Arkadelphia","34.121111","93.046111","LZK","LMRFC","Lower Mississippi Region","AR","0.62","< 0.05","< 0.05","01/24/2023","obj","JFM"
"AKRI4","Big Sioux River at Akron","42.837500","96.561667","FSD","MBRFC","Missouri Region","IA","0.22","0.16","0.08","1/24/2023","obj","JFM"
"AKWI4","South River (South Central IA) near Ackworth","41.337216","93.486325","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALBK1","Walnut Creek (KS) at Albert","38.461667","99.014444","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ALBW3","Sugar River at Albany","42.705833","89.437778","MKX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALDN1","Wood River near Alda","40.854722","98.474167","GID","MBRFC","Missouri Region","NE","0.26","0.2","0.12","1/24/2023","obj","JFM"
